,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
1,CBOSS_Dilation,Beef,0.7,1.51047,2.1489,18.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
2,CBOSS_Dilation,BeetleFly,0.75,1.39116,1.67094,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
3,CBOSS_Dilation,BirdChicken,0.9,1.4949,1.70416,18.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
4,CBOSS_Dilation,Car,0.78333,1.81214,3.69627,100.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
5,CBOSS_Dilation,CBF,0.99444,1.40858,39.84767,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
6,CBOSS_Dilation,Coffee,0.92857,1.40679,1.95829,124.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
7,CBOSS_Dilation,DiatomSizeReduction,0.89869,1.42514,15.0251,14.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.71942,2.49705,7.13486,18.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.69928,3.17475,13.98904,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
10,CBOSS_Dilation,DistalPhalanxTW,0.63309,2.38527,7.18976,66.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
11,CBOSS_Dilation,ECG200,0.81,1.54853,5.11764,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
12,CBOSS_Dilation,ECGFiveDays,0.79675,1.31928,38.57701,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
13,CBOSS_Dilation,ItalyPowerDemand,0.94072,1.28309,26.73965,30.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.57792,2.37812,7.70971,124.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.71821,3.05625,14.69769,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.58442,2.44836,7.47126,66.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
17,CBOSS_Dilation,OliveOil,0.86667,0.44379,1.63274,64.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
18,CBOSS_Dilation,Plane,1.0,1.64299,5.28736,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.84878,2.53803,9.74641,48.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.80412,3.09926,14.31664,96.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.7561,2.55072,10.23689,118.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
22,CBOSS_Dilation,SyntheticControl,0.98,1.97668,14.4756,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
23,CBOSS_Dilation,TwoLeadECG,0.85777,1.39107,49.96648,28.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
24,CBOSS_Dilation,Wine,0.62963,1.51228,3.13444,92.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
25,CBOSS_Dilation,ALL_AVERAGE,0.7984307999999999,1.8826779999999999,12.478814,67.28,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,256
0,CBOSS_Dilation,ArrowHead,0.78857,0.34618,7.98911,66.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
1,CBOSS_Dilation,Beef,0.7,0.44925,1.6716,124.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
2,CBOSS_Dilation,BeetleFly,0.75,0.35119,1.16758,18.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
3,CBOSS_Dilation,BirdChicken,0.85,0.36676,1.14988,120.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
4,CBOSS_Dilation,Car,0.75,0.73237,3.27232,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
5,CBOSS_Dilation,CBF,0.99111,0.2942,39.25963,18.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
6,CBOSS_Dilation,Coffee,0.96429,0.31382,1.42835,18.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
7,CBOSS_Dilation,DiatomSizeReduction,0.93137,0.30288,14.09929,86.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.70504,1.26408,6.39106,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.72826,2.04241,13.00297,66.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
10,CBOSS_Dilation,DistalPhalanxTW,0.6259,1.33957,6.53759,18.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
11,CBOSS_Dilation,ECG200,0.8,0.48017,4.41855,66.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
12,CBOSS_Dilation,ECGFiveDays,0.85714,0.26251,38.1767,18.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,random,512
